school_server_code,AstRoamer_Element_Hunt_Activity,Astroamer_Moon_Track,Astroamer_Planet_Trek_Activity,Food_sharing_tool,Ice,Ration Patterns,ages_puzzle,coins_puzzle,factorisation,policesquad
4122100-tg300,6.0,0.0,0.0,13.0,2.0,2.0,13.0,9.0,16.0,7.0
4231036-tg136,4.0,0.0,0.0,7.0,3.0,2.0,4.0,1.0,8.0,28.0
4202034-tg234,4.0,0.0,1.0,17.0,4.0,8.0,7.0,5.0,9.0,0.0
-ct31,2.0,0.0,0.0,21.0,3.0,8.0,1.0,0.0,3.0,0.0
1011009-ct9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0
1011001-ct1,8.0,0.0,0.0,4.0,0.0,2.0,3.0,5.0,4.0,4.0
4192081-tg281,4.0,0.0,0.0,13.0,2.0,0.0,3.0,1.0,6.0,0.0
1011020-ct20,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,22.0
1011018-ct18,3.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,4.0,12.0
-ct33,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,2.0,4.0
3051031-rj31,3.0,0.0,0.0,6.0,1.0,1.0,3.0,0.0,3.0,3.0
1011019-ct19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0
3051032-rj32,2.0,0.0,0.0,11.0,1.0,0.0,2.0,0.0,0.0,0.0
3072023-rj73,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
4202083-tg283,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0
4152031-tg231,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0
3051036-rj36,3.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0
1011024-ct24,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0
2031008-mz8,2.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,3.0
3051001-rj1,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0
3051049-rj49,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
4202004-tg204,2.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,2.0,0.0
3051026-rj26,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0
3072024-rj74,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
-ct32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
3072030-rj80,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0
3051022-rj22,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
3072002-rj52,4.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
1011011-ct11,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0
4141008-tg108,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0
3072028-rj78,2.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0
3051006-rj6,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2031005-mz5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0
4152012-tg212,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0
3072047-rj97,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0
3072027-rj77,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
3051013-rj13,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0
3072026-rj76,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0
1011022-ct22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
1011026-ct26,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4202059-tg259,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3072033-rj83,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
3072032-rj82,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
3051027-rj27,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
4231046-tg146,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0
3072012-rj62,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
3051044-rj44,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4231084-tg184,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0
3051002-rj2,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3051025-rj25,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
