school_server_code,AstRoamer_Element_Hunt_Activity,Astroamer_Moon_Track,Astroamer_Planet_Trek_Activity,Food_sharing_tool,Ice,Ration Patterns,ages_puzzle,coins_puzzle,factorisation,policesquad
3051031-rj31,3.0,0.0,0.0,6.0,1.0,1.0,3.0,0.0,3.0,3.0
3051032-rj32,2.0,0.0,0.0,11.0,1.0,0.0,2.0,0.0,0.0,0.0
3072023-rj73,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
3051036-rj36,3.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0
3051001-rj1,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0
3051049-rj49,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
3072002-rj52,4.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
3072030-rj80,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0
3072024-rj74,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
3051026-rj26,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0
3051022-rj22,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
3051006-rj6,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
3072028-rj78,2.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0
3051013-rj13,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0
3072026-rj76,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0
3072027-rj77,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
3072047-rj97,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0
3051044-rj44,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3051027-rj27,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
3051002-rj2,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3051025-rj25,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
3072032-rj82,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
3051014-rj14,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
3072033-rj83,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
3072012-rj62,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
3072046-rj96,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0
3072050-rj100,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
3072006-rj56,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
3072041-rj91,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
3051010-rj10,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3072044-rj94,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
3072048-rj98,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
3051004-rj4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3051024-rj24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
3072031-rj81,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3072018-rj68,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3072040-rj90,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
3072049-rj99,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3051030-rj30,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3072043-rj93,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
3072036-rj86,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3072009-rj59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3051011-rj11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051047-rj47,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
3072022-rj72,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3072019-rj69,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072029-rj79,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
3072008-rj58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3072035-rj85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3072034-rj84,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
